vehicle/raw_vehicle_cmd_converter/debug/steer_pid,Critical,0
system/component_state_monitor/component/autonomous/control,Critical,1
system/component_state_monitor/component/autonomous/localization,Critical,1
system/component_state_monitor/component/autonomous/map,Critical,1
system/component_state_monitor/component/autonomous/perception,Critical,1
system/component_state_monitor/component/autonomous/planning,Critical,1
system/component_state_monitor/component/autonomous/sensing,Critical,1
system/component_state_monitor/component/autonomous/system,Critical,1
system/component_state_monitor/component/autonomous/vehicle,Critical,1
system/component_state_monitor/component/launch/control,Critical,1
system/component_state_monitor/component/launch/localization,Critical,1
system/component_state_monitor/component/launch/map,Critical,1
system/component_state_monitor/component/launch/perception,Critical,1
system/component_state_monitor/component/launch/planning,Critical,1
system/component_state_monitor/component/launch/sensing,Critical,1
system/component_state_monitor/component/launch/system,Critical,1
system/component_state_monitor/component/launch/vehicle,Critical,1
system/processing_time_checker/metrics,Critical,2820